country,medialist
Norfolk Island,['norfolkislander.com']
Guadeloupe,"['guadeloupe.la1ere.fr', 'rci.fm', 'guadeloupe.franceantilles.fr', 'nouvellessemaine.fr']"
Lithuania,"['lrt.lt', 'bernardinai.lt', 'delfi.lt', 'lithuaniatribune.com', 'penki.lt', 'politika.lt', 'rsspasaulis.lt', 'lrytas.lt', 'magwil.lt', 'veidas.lt', 'baltictimes.com', 'kauno.diena.lt', 'aidas.lt', 'lzinios.lt', 'kurier.lt', 'valstietis.balsas.lt', 'vz.lt', 'bns.lt', 'elta.lt', 'alytausnaujienos.lt', 'dainavoszodis.lt', 'ana.lt', 'druskonis.lt', 'jonavosnaujienos.lt', 'kedainietis.lt', 'gyvenimas.eu', 'gargzdai.lt', 'klaipeda.diena.lt', 've.lt', 'suvalkietis.lt', 'santaka.info', 'kmintys.lt', 'panbalsas.lt', 'sekunde.lt', 'grokiskis.lt', 'etazinios.lt', 'skrastas.lt', 'snaujienos.lt', 'siloaidas.lt', 'kurjeris.lt', 'tauragiskis.lt', 'budas.lt', 'santarve.lt', 'laikrastisplunge.lt', 'kalvotoji.lt', 'tzinios.lt', 'anyksta.lt', 'udiena.lt', 'kronika.lt', 'elektrenuzinios.lt', 'svencioniu.krastas.w3.lt', 'galve.lt', 'traku-zeme.lt', 'gzeme.lt', 'ukzinios.lt', '15min.lt', 'baltische-rundschau.eu', 'kurierwilenski.lt', 'laisvaslaikrastis.lt', 'tygodnik.lt']"
Aruba,"['15atv.com', 'telearuba.aw', '24ora.com', 'arubaherald.com', 'awe24.com', 'boletinextra.com', 'bondia24.com', 'masnoticia.com', 'news.aw', 'noticiacla.com', 'rex.aw', 'sportsaruba.com', 'news.visitaruba.com', 'amigoe.com', 'diario.aw', 'arubawe.com', 'arubatoday.com', 'coolaruba.com', 'awemainta.com', 'themorningnewsaruba.com']"
Bhutan,"['bbs.bt', 'apfanews.com', 'bhutannewsservice.com', 'dzkuensel.bt', 'kuenselonline.com', 'bhutanobserver.bt']"
Saint Helena,"['ascension-island.gov.ac', 'the-islander.org.ac', 'saint.fm', 'sams.sh', 'sainthelena.gov.sh', 'sthelenaonline.org', 'tristandc.com', 'tristantimes.com']"
Namibia,"['nbc.na', 'informante.web.na', 'insight.com.na', 'namibian.com.na', 'nampa.org', 'namibtimes.net', 'az.com.na', 'confidente.com.na', 'economist.com.na', 'sun.com.na', 'newera.com.na', 'southernafrican.news', 'republikein.com.na', 'thevillager.com.na', 'observer24.com.na']"
Georgia,"['1tv.ge', '2tv.ge', 'commersant.ge', 'gpb.ge', 'imedi.ge', 'kavkasiatv.ge', 'maestro.ge', 'obieqtivi.net', 'palitratv.ge', 'radio1.ge', 'rferl.org', 'imedi.fm', 'rustavi2.com', 'tavisupleba.org', 'ambebi.ge', 'gbc.ge', 'georgien-nachrichten.de', 'kvali.com', 'netgazeti.ge', 'news.ge', 'newsgeorgia.ge', 'regions.ge', 'sakartvelo.info', 'tabula.ge', '24saati.ge', 'kvirispalitra.ge', 'resonancedaily.com', 'civil.ge', 'eng.ghn.ge', 'ghn.ge', 'rus.ghn.ge', 'interpressnews.ge', 'medianews.ge', 'sarke.com', 'abaza.tv', 'apsua.tv', 'apsny.ru', 'apsnypress.info', 'abkhazeti.info', 'gazeta-ra.info', 'adjaraps.com', 'ajaratv.ge', 'batumelebi.netgazeti.ge', 'tv25.ge', 'gurianews.com', 'imervizia.tv', 'megatv.ge', 'newpress.ge', 'rionitv.com', 'speqtri.ge', 'knews.ge', 'marneulitv.ge', 'tvkvemokartli.ge', 'tspress.ge', 'odishi.ge', 'dia.ge', 'trialeti.ge', 'ossetia.ru', 'asavali.ge', 'cbw.ge', 'droni.ge', 'finchannel.com', 'financial.ge', 'fortuna.ge', 'georgiatoday.ge', 'georgianjournal.ge', 'geotimes.ge', 'messenger.com.ge', 'primetimenews.ge', 'saertogazeti.ge']"
Paraguay,"['rpc.com.py', 'cardinal.com.py', 'nanduti.com.py', 'redguarani.com.py', 'hoy.com.py', 'interparaguay.com', 'neike.com.py', 'paraguay.com', 'ppn.com.py', 'paraguaynoticias.info', 'television.com.py', 'vivaparaguay.com', 'paraguaynoticias.com', 'abc.com.py', 'lanacion.com.py', 'ultimahora.com', 'ip.gov.py', 'diariocde.com.py', 'vanguardia.com.py', 'diariolajornada.com.py', 'tnpress.com.py', 'capiatadigital.com', 'ellimpeno.com', 'concepcion-py.com', '5dias.com.py', 'cronica.com.py', 'wochenblatt.cc', 'diariopopular.com.py', 'itapua.com.py', 'itacom.com.py']"
Malaysia,"['berita.rtm.gov.my', 'tv3.com.my', 'agendasemasa.com', 'beritasemasa.com.my', 'freemalaysiatoday.com', 'malayakhabar.com', 'malaysiakini.com', 'malaysia-today.net', 'maleisie.be', 'emedia.com.my', 'therakyatpost.com', 'malaysianews.net', 'aliran.com', 'bharian.com.my', 'chinapress.com.my', 'nst.com.my', 'thestar.com.my', 'utusan.com.my', 'bernama.com', 'mandarin.bernama.com', 'al-atheer.com.my', 'harakahdaily.net', 'kosmo.com.my', 'kualalumpurnews.net', 'themalaymailonline.com', 'georgetowndaily.com', 'kwongwah.com.my', 'asiatimes.biz', 'dailyexpress.com.my', 'newsabahtimes.com.my', 'ocdn.com.my', 'theborneopost.com', 'intimes.com.my', 'tribune.my', 'seehua.com', 'uniteddaily.com.my', 'theedgemalaysia.com', 'guangming.com.my', 'themalaysianreserve.com', 'nanyang.com', 'selangortimes.com', 'mysinchew.com', 'sinchew.com.my', 'sun2surf.com']"
Denmark,"['dr.dk', 'tv2.dk', 'ttv.tv2.dk', 'tv2regionerne.dk', 'euroinvestor.dk', 'news.dk', 'newspaq.dk', 'npinvestor.dk', 'scandinavianow.com', 'thelocal.dk', 'dagenspost.com', 'billedbladet.dk', 'business.dk', 'penge.dk', 'seoghoer.dk', 'udeoghjemme.dk', 'b.dk', 'borsen.dk', 'bt.dk', 'ekstrabladet.dk', 'information.dk', 'jyllands-posten.dk', 'politiken.dk', 'weekendavisen.dk', 'ritzau.dk', 'tv2bornholm.dk', 'albertslund.lokalavisen.dk', 'alleroed.lokalavisen.dk', 'ballerupbladet.dk', 'rudersdal.lokalavisen.dk', 'gentofte.lokalavisen.dk', 'arbejderen.dk', 'minby.dk', 'cphpost.dk', 'dba.dk', 'mm.dk', 'mx.dk', 'ugebrev.dk', 'samtid.dk', 'sondagsavisen.dk', 'tv2lorry.dk', 'lokal-avisen.net', 'furesoe.lokalavisen.dk', 'fredensborg.lokalavisen.dk', 'frederikssund.lokalavisen.dk', 'gladsaxebladet.dk', 'folkebladet.dk', 'hilleroed.lokalavisen.dk', 'hoersholm.lokalavisen.dk', 'lyngby-taarbaek.lokalavisen.dk', 'rnn.dk', 'bornholmstidende.dk', 'egedal.lokalavisen.dk', 'sn.dk', 'taarnbybladet.dk', 'kajsavis.dk', 'dinby.dk', 'stiften.dk', 'aarhus.lokalavisen.dk', 'tv2oj.dk', 'brandebladet.dk', 'galtenfolkeblad.dk', 'norddjurs.lokalavisen.dk', 'favrskov.lokalavisen.dk', 'hsfo.dk', 'herningbladet.dk', 'aoh.dk', 'tvmidtvest.dk', 'lokalavisen.dk', 'kaloevig.lokalavisen.dk', 'aoib.dk', 'ugeavisenkarup.dk', 'amtsavisen.dk', 'syddjurs.lokalavisen.dk', 'samso.dk', 'mja.dk', 'skanderborg.lokalavisen.dk', 'skivefolkeblad.dk', 'fjendsfolkeblad.dk', 'e-pages.dk', 'tv2nord.dk', 'nordjyske.dk', 'vesthimmerlandsavis.dk', 'aars.dk', 'roldskovbladet.dk', 'sydkysten.dk', 'haslev-posten.dk', 'netavisen-sjaelland.dk', 'koege.lokalavisen.dk', 'folketidende.dk', 'roskilde.lokalavisen.dk', 'stevnsbladet.dk', 'tveast.dk', 'ugeavisen.dk', 'nordschleswiger.dk', 'ansager.info', 'folkebladet.net', 'lokalavisenassens.dk', 'vafo.dk', 'torsdagsavisen.dk', 'jv.dk', 'frdb.dk', 'tvsyd.dk', 'lokalavisennyborg.dk', 'fyens.dk', 'tv2fyn.dk', 'ugeavisennordfyn.dk']"
Asia Regional,"['australiaplus.com', 'bbc.co.uk', 'channelnewsasia.com', 'foxsportsasia.com', 'voanews.com', 'asiabriefing.com', 'asiabulletin.com', 'asia-monitor.com', 'asianews.it', 'theasianews.net', 'asianews.network', 'asianewsweekly.net', 'asiaone.com', 'en.apdnews.com', 'apdnews.com', 'apmforum.com', 'asiapacificnews.net', 'asiapacificstar.com', 'asiapacificuniverse.com', 'asiasentinel.com', 'asiasociety.org', 'asiathisweek.com', 'atimes.com', 'atchinese.com', 'asiatoday.com', 'asiancorrespondent.com', 'asiantribune.com', 'asialive.info', 'caspiansea.com', 'centrasia.ru', 'cacianalyst.org', 'centralasianews.net', 'centralasiatimes.com', 'eurasia.org.ru', 'eurasianet.org', 'russian.eurasianet.org', 'globalcapital.com', 'intellasia.net', 'kurdishmedia.com', 'neweurasia.net', 'southasianewsreview.com', 'southasianmedia.net', 'southasiantribune.com', 'southeastasianews.net', 'southeastasiapost.com', 'afrique-asie.fr', 'aseanaffairs.com', 'asian-affairs.com', 'asianinvestor.net', 'thediplomat.com', 'financeasia.com', 'southasiajournal.net', 'content.time.com', 'stripes.com', 'wsj.com', 'enews.fergananews.com', 'fr.fergananews.com', 'fergananews.com', 'uzbek.fergananews.com']"
Saint Barthelemy,"['st-barths.com', 'journaldesaintbarth.com', 'le97133.com', 'news-sbh.com', 'radiostbarth.com', 'stbarthweekly.com', 'tropikfm.com']"
Kuwait,"['kuwait.araa.com', 'kuwaitbulletin.com', 'q8dailynews.com', 'kuwaitnews.com', 'al-forqan.net', 'alyaqza.com', 'anhaar.com', 'alqabas.com.kw', 'alraimedia.com', 'al-seyassah.com', 'alwatan.kuwait.tt', 'kuna.net.kw', 'alanba.com.kw', 'aljarida.com', 'alkhabarkw.com', 'alsabahpress.com', 'alshahedkw.com', 'altaleea.com', 'alwasat.com.kw', 'annaharkw.com', 'arabtimesonline.com', 'news.kuwaittimes.net']"
Kiribati,['kiribatiupdates.com.ki']
Egypt,"['alhadath-tv.com', 'mubasher-misr.aljazeera.net', 'cbc-eg.com', 'egynews.net', 'niletc.tv', 'nileinternational.net', 'ontveg.com', 'dailyegypt.net', 'egyptcmnews.com', 'egyptindependent.com', 'madamasr.com', 'masralarabia.com', 'sis.gov.eg', 'egypt-elections.com', 'alwatanalarabi.com', 'egypttoday.com', 'ahram.org.eg', 'akhbarelyom.com', 'algomhuria.net.eg', 'almessa.net.eg', 'alwafd.org', 'mena.org.eg', '24hnewspaper.net', 'hebdo.ahram.org.eg', 'weekly.ahram.org.eg', 'dostor.org', 'almasryalyoum.com', 'shorouknews.com', 'tahrirnews.com', 'businesstodayegypt.com', 'cairolive.com', 'cairotimes.com', 'dailynewsegypt.com', 'new.elfagr.org', 'lepetitjournal.com', 'progres.net.eg', 'mkegypt.net', 'wataninet.com', 'youm7.com']"
Uruguay,"['canal10.com.uy', 'carve850.com.uy', 'espectador.com', 'telenocheonline.com', 'teledoce.com', '180.com.uy', 'eldiario.com.uy', 'eltelescopio.com.uy', 'lr21.com.uy', 'noticiasuy.com', 'sociedaduruguaya.org', 'subrayado.com.uy', 'uruguayaldia.uy', 'uypress.net', 'bitacora.com.uy', 'brecha.com.uy', 'busqueda.com.uy', 'elobservador.com.uy', 'elpais.com.uy', 'republica.com.uy', 'todoartigas.com', 'lagaceta.com.uy', 'hoycanelones.com.uy', 'costanoticias.blogspot.com', 'actualidad.com.uy', 'diariotiempo.com.uy', 'canal12melo.tv', 'diarioatlas.com.uy', 'elprofesional.com.uy', 'carmeloportal.com', 'elecodigital.com.uy', 'colonianoticias.com.uy', 'coloniaya.com', 'diariocolonia.com', 'lacoloniadigital.com.uy', 'duraznodigital.uy', 'elacontecer.com.uy', 'agendainformativa.net', 'flores.org.uy', 'cw33florida.com.uy', 'diariocambios.com.uy', 'elbuscadordiario.com', 'elheraldo.com.uy', 'florida24.com.uy', 'floridadiario.com.uy', 'floridaonline.wixsite.com', 'tvflorida.com.uy', 'sarandigrandealdia.com', 'arequitadigital.com', 'diariolaunion.com', 'primerapagina.com.uy', 'fmgente.com.uy', 'maldonadonoticias.com', 'realidad.com.uy', 'semanariolaprensa.com', 'canal11.uy', 'correopuntadeleste.com', 'infopunta.com', 'puntanews.com.uy', 'solnoticias.com', 'cronicas.com.uy', 'impo.com.uy', 'ladiaria.com.uy', 'diariolajuventud.com', 'radiomontecarlo.com.uy', 'montevideo.com.uy', 'ovaciondigital.com.uy', 'propuesta.com.uy', 'eltelegrafo.com', 'horanoticias.com', 'inforio.com.uy', 'ahoranoticias.com.uy', 'derivera.com.uy', 'diarionorte.com.uy', 'diarioeleste.com', 'noticiasrocha.com', '10minutos.com.uy', 'diariocambio.com.uy', 'diarioelpueblo.com.uy', 'laprensa.com.uy', 'quintoelemento.uy', 'saltoaldia.com.uy', 'saltonoticias.com.uy', 'primerahora.com.uy', 'visionciudadana.com.uy', 'periodicocentenario.com.uy', 'diariocronicas.com.uy', 'sorianototal.com', 'semanariocentro.com.uy', 'avisador.com.uy', 'fmconquistador.com']"
Kenya,"['citizentv.co.ke', 'mediamaxnetwork.co.ke', 'kbc.co.ke', 'ktnkenya.tv', 'ntv.nation.co.ke', 'africanewsposts.com', 'buzzkenya.com', 'kenyan-post.com', 'kenyamoja.com', 'kenyanewsupdates.com', 'kenya-today.com', 'nairobigossips.com', 'news24.co.ke', 'theeastafrican.co.ke', 'nation.co.ke', 'standardmedia.co.ke', 'kenyanewsagency.go.ke', 'coastweek.com', 'businessdailyafrica.com', 'capitalfm.co.ke', 'nairobi.com', 'the-star.co.ke', 'theweeklyadvertiser.com', 'x-news.co.ke']"
Peru,"['americatv.com.pe', 'atv.tuteve.tv', 'frecuencialatina.com.pe', 'panamericana.pe', 'radionacional.com.pe', 'rpp.com.pe', 'tvperu.gob.pe', 'accesoperu.com', 'agenciaperu.net', 'connuestroperu.com', 'diariocorreo.pe', 'cronicaviva.com.pe', 'news.google.com.pe', 'peruactual.com', 'perualdia.net', 'peruinforma.com', 'perunoticias.net', 'perupress.com', 'perupuntocom.com', 'perureporta.pe', 'perureports.com', 'peruviantimes.com', 'pornuestroperu.com', 'terra.com.pe', 'peru.com', 'revistabusiness.com.pe', 'caretas.com.pe', 'elcomercio.pe', 'elperuano.pe', 'larepublica.pe', 'andina.com.pe', 'about.reuters.com', 'diarioahora.pe', 'baguaperu.com', 'diariomaranon.com', 'diariodechimbote.com', 'elferrolchimbote.com', 'ojoajeno.com', 'diariointegracion.com', 'diario-ya.com', 'thehuaraztelegraph.com', 'invierteenhuaraz.com.pe', 'chaski.pe', 'pregon.com.pe', 'expresion.pe', 'diariosinfronteras.pe', 'elbuho.pe', 'elpueblo.com.pe', 'infoarequipa.com', 'diarionoticias.pe', 'ayacuchodigital.com', 'jornada.com.pe', 'lacalle.com.pe', 'diariolavozdehuamanga.com', 'cajamarcaopina.com', 'elmercuriocajamarca.com', 'panoramacajamarquino.com', 'diariocallao.com', 'cusconoticias.com', 'diariodelcusco.com', 'diarioelsoldecusco.com', 'ahora.com.pe', 'hoy.pe', 'lavozdeica.com', 'ultimasnoticiasdiario.com', 'detrujillo.com', 'laindustria.com', 'noticiastrujillo.com', 'peruprensa.org', 'satelite.diariolaindustriatrujillo.com', 'trujilloinforma.com', 'diarioasiregional.blogspot.com', 'ecoshuacho.com', 'diarioelchaski.pe', 'elimparcialhuacho.com', 'depor.pe', 'diario16.pe', 'delpais.com.pe', 'diariouno.pe', 'elbocon.pe', 'elchino.pe', 'elmen.pe', 'elpopular.pe', 'exitosadiario.pe', 'expreso.com.pe', 'gestion.pe', 'diariolaprimeraperu.com', 'larazon.pe', 'la-tribuna.org', 'libero.pe', 'diario-nuevosol.com', 'ojo.pe', 'peru21.pe', 'perushimpo.com', 'publimetro.pe', 'todosport.pe', 'trome.pe', 'diariocronicas-iquitos.com', 'diariolaregion.com', 'proycontra.com.pe', 'laregiondiario.com', 'prensaregional.pe', 'agendapasco.com', 'eltiempo.com.pe', 'lahora.pe', 'elregionalpiura.com.pe', 'losandes.com.pe', 'diariohoy.com.pe', 'diariovoces.com.pe', 'surnoticias.com', 'aldia.pe', 'impetu.pe', 'elchoche.pe', 'gacetaucayalina.com']"
Anguilla,"['anguillatv.net', 'klass929.com', 'koolfm103.com', 'anguillanews.com', 'news.ai', 'theanguillian.com']"
United Nations,"['unmultimedia.org', 'un.org']"
Chad,"['alwihdainfo.com', 'ialtchad.com', 'journaldutchad.com', 'tchadactuel.com', 'tchadinfos.com', 'tchadonline.com', 'tchadvision.com']"
Americas Regional,"['ntn24.com', 'dialogo-americas.com', 'mundoagropecuario.com', 'mundoagropecuario.net', 'newsamericasnow.com', 'panampost.com', 'es.panampost.com']"
Christmas Island,['shire.gov.cx']
South Sudan,"['eyeradio.org', 'bakhitaradio.org', 'radiotamazuj.org', 'gurtong.net', 'newsudanvision.com', 'sosanews.com', 'southsudan.net', 'southsudaninfo.net', 'southsudannation.com', 'southsudannewsagency.com', 'southsudantoday.net', 'southsudantribune.org', 'sudantribune.net', 'sudantribune.com', 'upperniletimes.net', 'newnationsouthsudan.com', 'almaugif.com']"
Saint Vincent and  Grenadines,"['nbcsvg.com', 'svg-tv.com', 'iwnsvg.com', 'news784.com', 'stvincenttribune.com', 'searchlight.vc', 'thevincentian.com']"
Lebanon,"['almanar.com.lb', 'future.com.lb', 'lbcgroup.tv', 'nbn.com.lb', 'vdl.com.lb', 'akhbarlubnan.net', 'alankabout.com', 'beirutbizreport.com', 'cedarnews.net', 'elnashra.com', 'lebanese-forces.com', 'lebanonpost.com', 'lebanonwire.com', 'naharnet.com', 'now.mmedia.me', 'tayyar.org', 'ayanews.com', 'lebanon.com', 'yalibnan.com', 'almassira.com', 'arabweek.com.lb', 'annabaa.org', 'executive-magazine.com', 'rdl.com.lb', 'lecommercedulevant.com', 'alanwar-leb.com', 'annahar.com', 'assafir.com', 'almarkazia.com', 'nna-leb.gov.lb', 'el-kalima.com', 'al-inshaa.com', 'attamaddon.com', 'alahednews.com.lb', 'english.alahednews.com.lb', 'al-akhbar.com', 'english.al-akhbar.com', 'al-aman.com', 'albaladonline.com', 'imarwaiktissad.com', 'aljoumhouria.com', 'aliwaa.com', 'almustaqbal.com', 'araraddaily.com', 'aztagdaily.com', 'dailystar.com.lb', 'elsharkonline.com', 'lorient-lejour.com.lb', 'zartonkdaily.com']"
Barbados,"['cbc.bb', 'vob929.com', 'bajanreporter.com', 'barbadosgazette.com', 'barbadosnews.net', 'loopnewsbarbados.com', 'nationnews.com', 'barbadosadvocate.com', 'barbadostoday.bb', 'broadstreetnews.com']"
Palau,['tiabelaunews.com']
Turks and Caicos Islands,"['wivtc.com', 'timespub.tc', 'tcifreepress.com', 'suntci.com', 'tcweeklynews.com']"
Chile,"['13.cl', 'chilevision.cl', 'cnnchile.cl', 'radioagricultura.cl', 'biobiochile.cl', 'cooperativa.cl', 'infinita.cl', '24horas.cl', '123.cl', 'asuntospublicos.cl', 'chile.com', 'theclinic.cl', 'cronicadigital.cl', 'diariopyme.cl', 'diariosenred.com', 'eldinamo.cl', 'elmostrador.cl', 'emol.com', 'news.google.cl', 'ilovechile.cl', 'laaldea.cl', 'mundoagropecuario.cl', 'servicioweb.cl', 'soychile.cl', 'terra.cl', 'capital.cl', 'conozcamas.cl', 'elciudadano.cl', 'elperiodista.cl', 'ercilla.cl', 'fortinmapocho.com', 'puntofinal.cl', 'quepasa.cl', 'df.cl', 'diariooficial.interior.gob.cl', 'estrategia.cl', 'lacuarta.com', 'lanacion.cl', 'lasegunda.com', 'latercera.com', 'lun.com', 'chilenoticias.cl', 'about.reuters.com', 'cavancha.cl', 'elboyaldia.cl', 'diariolongino.cl', 'diarioelnortino.cl', 'iquiqueonline.cl', 'estrellaiquique.cl', 'redtarapaca.com', 'elmensajero.cl', 'mercurioantofagasta.cl', 'elnortero.cl', 'estrellaantofagasta.cl', 'redantofagasta.com', 'mercuriocalama.cl', 'estrellaloa.cl', 'estrellatocopilla.cl', 'chanarcillo.cl', 'diarioatacama.cl', 'elquehaydecierto.cl', 'redatacama.com', 'diariolaregion.cl', 'diarioeldia.cl', 'elobservatodo.cl', 'redcoquimbo.com', 'elovallino.cl', 'elandino.cl', 'vtv2.cl', 'diarioelobservador.cl', 'zonaimpacto.cl', 'elproa.cl', 'lidersanantonio.cl', 'eltrabajo.cl', 'valparaiso.indymedia.org', 'elmartutino.cl', 'mercuriovalpo.cl', 'granvalparaiso.cl', 'estrellavalpo.cl', 'radiovalparaiso.cl', 'redvalparaiso.com', 'tell.cl', 'diarioelmarino.cl', 'diariolibertador.com', 'elrancaguino.cl', 'elrancahuaso.cl', 'eltipografo.cl', 'redohiggins.com', 'ultimahora.cl', 'diarioviregion.cl', 'vi.cl', 'diariolaprensa.cl', 'diarioelheraldo.cl', 'elamaule.cl', 'diarioelcentro.cl', 'redmaule.com', 'lavozdearauco.cl', 'lanalhuenoticias.cl', 'cronicachillan.cl', 'ladiscusion.cl', 'elconcecuente.cl', 'diarioconcepcion.cl', 'elsur.cl', 'estrellaconce.cl', 'redbiobio.com', 'diariolatribuna.cl', 'elsancarlino.cl', 'sancarlosonline.cl', 'renacerdeangol.cl', 'australtemuco.cl', 'elgong.cl', 'laopinon.cl', 'redaraucania.com', 'correodellago.com', 'alerceweb.cl', 'castrochiloe.cl', 'elinsular.cl', 'laestrellachiloe.cl', 'australosorno.cl', 'elvacanudo.cl', 'datossur.cl', 'diariollanquihue.cl', 'elrepuertero.cl', 'redloslagos.com', 'elheraldoaustral.cl', 'diarioaysen.cl', 'eldivisadero.cl', 'elpatagondomingo.cl', 'apocalipsisfm.cl', 'radiocoyhaique.cl', 'radiopatagoniachilena.cl', 'radiosantamaria.cl', 'radioventisqueros.cl', 'redaysen.com', 'roccotv.cl', 'vientopatagon.cl', 'aysenahora.cl', 'canal11aysen.cl', 'rln.cl', 'elfueguino.cl', 'porvenirnoticias.cl', 'natalespatagonia.cl', 'natalesonline.cl', 'opinionsur.cl', 'portalnatales.cl', 'radionatales.com', 'ptowilliams.cl', 'elmagallanews.cl', 'elpatagonico.cl', 'elpinguino.com', 'itvpatagonia.com', 'magallanesonline.cl', 'laprensaaustral.cl', 'nuevomundopatagonia.cl', 'ovejeronoticias.cl', 'radiomagallanes.cl', 'radiopolar.com', 'redmagallanes.com', 'soberaniaradio.cl', 'australdelosrios.cl', 'elnaveghable.cl', 'redlosrios.com', 'valdiviacapital.cl', 'aricaregion.cl', 'elmorrocotudo.cl', 'estrellaarica.cl', 'redarica.com', 'rapanui.co.cl', 'elparadiario14.cl', 'diariolabrador.cl', 'portaldemelipilla.cl', 'puentealtoaldia.cl', 'condor.cl', 'elgraficochile.cl', 'hoyxhoy.cl', 'lahora.cl', 'lepetitjournal.com', 'publimetro.cl', 'pulso.cl', 'lamejor.cl', 'radionuevomundo.cl', 'radioportales.cl', 'santiagotimes.cl']"
Ireland,"['rte.ie', 'news.google.ie', 'insideireland.ie', 'decisionireland.com', 'anphoblacht.com', 'foinse.ie', 'irishexaminer.com', 'independent.ie', 'republican-news.org', 'irishtimes.com', 'swp.ie', 'irishpost.co.uk', 'carlow-nationalist.ie', 'anglocelt.ie', 'clarechampion.ie', 'clare.fm', 'clarecourier.ie', 'corkindependent.com', '96fm.ie', 'kenmarenews.biz', 'avondhupress.ie', 'southernstar.ie', 'donegaldemocrat.ie', 'marinetimes.ie', 'donegalnews.com', 'donegalnow.com', 'eveningecho.ie', 'herald.ie', 'thestar.ie', 'lepetitjournal.com', 'lietuvis.ie', 'metroherald.ie', 'russianireland.com', 'businesspost.ie', 'sundayworld.com', 'sveiks.ie', 'dublinpeople.ie', 'connacht-tribune.ie', 'advertiser.ie', 'tuamherald.ie', 'killarneytoday.com', 'kerryseye.com', 'leinsterleader.ie', 'kildare-nationalist.ie', 'kilkennypeople.ie', 'laois-nationalist.ie', 'leinsterexpress.ie', 'leitrimobserver.ie', 'limerickleader.ie', 'limerickpost.ie', 'longfordleader.ie', 'westernpeople.com', 'con-telegraph.ie', 'mayoecho.com', 'mayonews.ie', 'meathchronicle.ie', 'offalyexpress.ie', 'offalyindependent.ie', 'tullamoretribune.ie', 'homepage.tinet.ie', 'roscommonherald.ie', 'sligoweekender.ie', 'nenaghguardian.ie', 'tipperarystar.ie', 'munster-express.ie', 'waterford-news.ie', 'waterford-today.ie', 'wlrfm.com', 'westmeathindependent.ie', 'westmeathexaminer.ie', 'wexfordecho.ie', 'southeastradio.ie']"
Congo Kinshasa,"['radiookapi.net', '7sur7.cd', 'congo24.net', 'congojet.com', 'deboutcongolais.info', 'digitalcongo.net', 'direct.cd', 'kivumedia.com', 'rdcongoinfos.com', 'congoindependant.com', 'congopanorama.info', 'congoplanet.com', 'congoplanete.com', 'congotribune.com', 'congovision.com', 'congolais.fr', 'congonline.com', 'mediacongo.net', 'nekongo.org', 'obsac.com', 'groupelavenir.org', 'lepotentielonline.com', 'acpcongo.com', 'business-et-finances.com', 'laconscience.com', 'laprosperiteonline.net', 'lephareonline.net', 'lesoftonline.net', 'lobservateur.cd']"
Contact ABYZ,[]
Iran,"['arabic.irib.ir', 'english.irib.ir', 'irib.ir', 'irinn.ir', 'presstv.com', 'bbc.co.uk', 'dw.de', 'radiofarda.com', 'persian.rfi.fr', 'rferl.org', 'radis.org', 'ir.voanews.com', 'alef.ir', 'entekhab.ir', 'news.gooya.com', 'iran-emrooz.net', 'iranfocus.com', 'iranfrontpage.com', 'iranwpd.com', 'iransportspress.com', 'iranian.com', 'arabic.khabaronline.ir', 'english.khabaronline.ir', 'khabaronline.ir', 'en.mfa.ir', 'mfa.gov.ir', 'parstimes.com', 'payvand.com', 'roozonline.com', 'tabnak.ir', 'tehrantelegram.com', 'abrarnews.com', 'ettelaat.com', 'hamshahrionline.ir', 'iran-newspaper.com', 'iran-varzeshi.com', 'kayhan.ir', 'arabic.farsnews.com', 'english.farsnews.com', 'farsnews.com', 'turkish.farsnews.com', 'ilna.ir', 'ar.irna.ir', 'en.irna.ir', 'irna.ir', 'es.irna.ir', 'tr.irna.ir', 'isna.ir', 'old.mehrnews.com', 'en.mehrnews.com', 'mehrnews.com', 'tasnimnews.com', 'aminnews.ir', 'asreazadi.com', 'azarbaidgan.ir', 'mahdazadi.ir', 'khabarjonoub.ir', 'esfahanemrooz.ir', 'khorasannews.com', 'shahraraonline.com', 'afarineshdaily.ir', 'al-vefagh.com', 'armandaily.ir', 'asrarnews.ir', 'donya-e-eqtesad.com', 'ebtekarnews.com', 'etemaad.ir', 'farheekhtegan.ir', 'financialtribune.com', 'hamvatansalam.com', 'hemayatonline.ir', 'iran-daily.com', 'jamejamonline.ir', 'javanonline.ir', 'jomhourieslami.com', 'mardomsalari.com', 'navad.net', 'qudsonline.ir', 'newsrahemardom.ir', 'resalat-news.com', 'sharghnewspaper.ir', 'siasatrooz.ir', 'tafahomnews.com', 'tehrantimes.com', 'tehraneemrooz.com', 'vatanemrooz.ir']"
Dominica,"['dbcradio.net', 'dominicavibes.dm', 'dominicagazette.com', 'dominicanewsonline.com', 'dominica-weekly.com', 'thedominican.net', 'news-dominica.com', 'sundominica.com', 'kairifm.com', 'q95da.com']"
Pacific Regional,"['abcasiapacificnews.com', 'australianetwork.com', 'channelnewsasia.com', 'apmforum.com', 'asiapacificnews.net', 'asiapac.org.fj', 'uqconnect.net', 'eventpolynesia.com', 'nesiannews.com', 'pidp.eastwestcenter.org', 'islandsbusiness.com', 'pacificmagazine.net', 'stripes.com', 'washingtonpost.com']"
